type,strike,currentBid,currentAsk,expiration,riskFree,sp500UnderlyingSpot,vixIndex,moneyness,blackScholes,endingBid,endingAsk
0,3600.0,0.0,0.05,25,0.0153,3078.27002,12.83,0.8550750055555555,0.0,0.0,0.05
0,3600.0,0.0,0.1,14,0.0151,3192.52002,12.29,0.8868111166666667,0.0,0.0,0.05
0,3600.0,0.05,0.1,14,0.0151,3192.52002,12.29,0.8868111166666667,0.0,0.0,0.05
1,2120.0,11.1,11.6,50,0.0238,2447.889893,25.450001,1.1546650438679245,2.1135769019931763e-207,0.0,0.05
0,2940.0,99.9,100.6,60,0.0188,2976.73999,16.24,1.0124965952380949,49.870583572222586,195.7,211.0
0,2515.0,389.9,392.4,79,0.0172,2887.610107,20.559998999999998,1.1481551121272366,386.13465131362545,693.0,716.2
1,2800.0,99.9,107.1,172,0.024,2796.110107,14.85,0.9986107525,0.5504678920900119,0.0,0.05
1,3300.0,476.6,479.1,85,0.024,2815.439941,14.43,0.8531636184848486,457.95361134961604,337.1,361.0
0,2860.0,0.0,0.05,9,0.0236,2510.030029,23.219998999999998,0.8776328772727273,3.342523082023376e-196,0.0,0.05
0,2895.0,0.0,0.05,9,0.0236,2510.030029,23.219998999999998,0.8670224625215891,3.2306370749080003e-234,0.0,0.05
0,2800.0,0.0,0.05,7,0.0236,2510.030029,23.219998999999998,0.8964392960714286,1.952472917553088e-177,0.0,0.05
0,2920.0,83.3,87.5,72,0.0166,2919.399902,18.639999,0.9997944869863014,16.221506940492418,288.0,311.2
1,2530.0,85.8,87.4,70,0.0236,2531.939941,21.379998999999998,1.0007667750988145,2.107868380463003,0.0,0.05
1,2275.0,86.1,87.5,346,0.0236,2574.409912,20.469998999999998,1.1316087525274725,6.799601119254873e-41,0.0,0.05
1,2550.0,80.1,87.5,99,0.0236,2584.959961,19.98,1.0137097886274509,0.15249855751479657,0.0,0.05
1,2525.0,86.3,87.4,318,0.0235,2737.699951,15.57,1.0842376043564357,9.311172511608343e-56,0.0,0.05
1,2750.0,86.1,87.5,100,0.0236,2731.610107,15.38,0.9933127661818182,1.1724331105700685,0.0,0.05
1,2760.0,86.5,87.5,106,0.0241,2748.929932,16.59,0.9959891057971014,4.119154393924987,0.0,0.05
1,2650.0,86.6,87.5,282,0.0239,2810.919922,13.41,1.0607244988679243,9.877416961018196e-38,0.0,0.05
1,2850.0,80.6,87.5,56,0.0244,2800.709961,16.48,0.9827052494736842,37.24922453650697,0.0,0.05
1,2825.0,86.5,87.4,238,0.0238,2939.8798829999996,12.73,1.0406654453097344,1.194387170932855e-11,0.0,0.05
1,2925.0,78.4,87.4,143,0.0238,2945.830078,13.12,1.0071213941880341,0.010553461019545018,0.0,0.05
1,2895.0,83.9,87.4,4,0.0237,2811.8701170000004,20.549999,0.9712850145077722,82.04101639489272,30.6,39.6
0,2400.0,117.7,122.0,12,0.0236,2510.030029,23.219998999999998,1.0458458454166666,112.72565688729355,174.1,188.4
0,2425.0,96.2,99.8,12,0.0236,2510.030029,23.219998999999998,1.0350639294845358,87.75373634445396,149.1,163.4
0,2525.0,26.5,28.3,12,0.0236,2510.030029,23.219998999999998,0.9940712986138612,1.1338099953114806,51.9,60.4
0,2460.0,45.1,54.9,0,0.0236,2510.030029,23.219998999999998,1.0203374101626017,50.03002900000001,45.1,54.9
0,2470.0,35.1,44.9,0,0.0236,2510.030029,23.219998999999998,1.0162064894736842,40.03002900000001,35.1,44.9
0,2475.0,31.8,39.9,0,0.0236,2510.030029,23.219998999999998,1.014153547070707,35.03002900000001,31.8,39.9
0,2480.0,26.8,34.9,0,0.0236,2510.030029,23.219998999999998,1.0121088826612905,30.030029000000013,26.8,34.9
0,2500.0,159.9,172.8,362,0.0238,2447.889893,25.450001,0.9791559572,34.52028589798806,718.0,741.8
0,2500.0,166.2,169.6,362,0.0238,2447.889893,25.450001,0.9791559572,34.52028589798806,718.0,741.8
0,3150.0,19.6,27.1,274,0.0246,2854.8798829999996,13.63,0.9063110739682538,2.1590381051390153e-11,65.0,74.4
0,3175.0,15.6,22.7,274,0.0246,2854.8798829999996,13.63,0.8991747662992124,8.032591827863528e-14,40.0,49.4
0,3200.0,12.2,19.3,274,0.0246,2854.8798829999996,13.63,0.8921499634374999,1.817658623512975e-16,15.0,24.4
0,3100.0,136.7,142.9,4,0.0145,3240.02002,13.43,1.0451677483870967,140.73342996157726,121.9,136.8
0,3105.0,131.7,137.9,4,0.0145,3240.02002,13.43,1.0434847085346215,135.73458062280588,117.0,132.8
0,3200.0,39.0,44.5,4,0.0145,3240.02002,13.43,1.01250625625,40.756443186179695,25.0,33.8
0,2625.0,2.4,2.6,22,0.0238,2447.889893,25.450001,0.9325294830476192,1.4458248615893965e-99,33.1,43.0
0,2625.0,2.45,2.7,22,0.0238,2447.889893,25.450001,0.9325294830476192,1.4458248615893965e-99,33.1,43.0
0,2740.0,0.1,0.3,22,0.0238,2447.889893,25.450001,0.8933904718978102,4.977458418109044e-261,0.0,0.05
0,3100.0,136.7,142.9,4,0.0145,3240.02002,13.43,1.0451677483870967,140.73342996157726,121.9,136.8
0,2740.0,0.1,0.3,22,0.0238,2447.889893,25.450001,0.8933904718978102,4.977458418109044e-261,0.0,0.05
0,3040.0,98.1,102.3,1,0.0159,3140.52002,11.54,1.0330657960526315,100.71182347280273,105.8,121.5
0,3105.0,34.0,37.5,1,0.0159,3140.52002,11.54,1.0114396199677942,35.71592453389894,44.2,54.0
0,3110.0,29.1,32.7,1,0.0159,3140.52002,11.54,1.0098135112540192,30.716240000137077,39.1,49.0
0,3115.0,24.1,27.8,1,0.0159,3140.52002,11.54,1.0081926227929374,25.716555466375212,34.1,44.0
0,3100.0,0.45,0.65,91,0.0237,2635.959961,18.059998999999998,0.8503096648387097,1.8587472342760872e-125,0.0,0.05
0,2475.0,416.4,429.0,172,0.0238,2867.189941,13.4,1.1584605822222225,432.07014812698435,504.5,528.0
1,2475.0,0.4,0.5,17,0.0238,2867.189941,13.4,1.1584605822222225,0.0,0.0,0.05
 